run_id,epoch,trial_index_in_epoch,timestamp_iso,benchmark,runtime,input_size,input_path,wall_clock_s,exit_code,energy_pkg_uj_total,energy_core_uj_total,avg_power_pkg_w,avg_power_core_w,user_cpu_s,sys_cpu_s,max_rss_kb,num_rapl_samples,governor,cpu_freq_pre_mhz,cpu_freq_post_mhz,cpu_temp_pre_c,cpu_temp_post_c,notes
idle-intertrial-04-004-0fbcb7,4,4,2026-05-03T22:58:56-0400,idle_intertrial,idle,,,5.000568,0,46000367,112970,9.1991,0.0226,0,0,0,51,schedutil,,,,,idle baseline
e04-t004-sort-sort-bash-10M-f371bd,4,4,2026-05-03T22:58:57-0400,sort-sort,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,0.912319,0,24532881,98002,27.2552,0.1089,0.84,0.1,14516,10,schedutil,1550.0,1550.0,,,
idle-intertrial-04-005-c0419d,4,5,2026-05-03T22:59:02-0400,idle_intertrial,idle,,,5.000557,0,50146347,106776,10.0282,0.0214,0,0,0,51,schedutil,,,,,idle baseline
e04-t005-nfa-regex-bash-100M-5d6b97,4,5,2026-05-03T23:02:39-0400,nfa-regex,bash,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,217.492387,0,6253179290,23251147,28.7635,0.1070,217.42,0.46,3500,2175,schedutil,1546.9,1374.5,,,
idle-intertrial-04-006-1f66e4,4,6,2026-05-03T23:02:45-0400,idle_intertrial,idle,,,5.000167,0,44574310,199865,8.9146,0.0400,0,0,0,51,schedutil,,,,,idle baseline
e04-t006-wf-bash-10M-0b57ec,4,6,2026-05-03T23:02:47-0400,wf,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.844600,0,72861496,9135819,26.0210,3.2627,3.15,0.11,10492,29,schedutil,1376.0,1636.5,,,
idle-intertrial-04-007-6a8b50,4,7,2026-05-03T23:02:52-0400,idle_intertrial,idle,,,5.000485,0,47403371,68539,9.4799,0.0137,0,0,0,51,schedutil,,,,,idle baseline
e04-t007-wf-bash-1M-ca16b1,4,7,2026-05-03T23:02:53-0400,wf,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.361030,0,7881139,41121,26.2590,0.1370,0.38,0.01,10568,4,schedutil,1550.0,1550.0,,,
idle-intertrial-04-008-7e3646,4,8,2026-05-03T23:02:58-0400,idle_intertrial,idle,,,5.000551,0,47893519,50961,9.5777,0.0102,0,0,0,51,schedutil,,,,,idle baseline
e04-t008-nfa-regex-pash_cold-1M-37dd0e,4,8,2026-05-03T23:03:00-0400,nfa-regex,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,1.720408,0,52014873,813954,30.5949,0.4788,2.75,0.19,22968,18,schedutil,1550.0,1372.6,,,
idle-intertrial-04-009-5666b8,4,9,2026-05-03T23:03:05-0400,idle_intertrial,idle,,,5.000545,0,46488243,222919,9.2967,0.0446,0,0,0,51,schedutil,,,,,idle baseline
e04-t009-wf-pash_cold-1M-b1684b,4,9,2026-05-03T23:03:06-0400,wf,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.997750,0,23718698,941327,26.3507,1.0458,1.01,0.31,23756,10,schedutil,1376.2,1505.6,,,
idle-intertrial-04-010-8aa460,4,10,2026-05-03T23:03:11-0400,idle_intertrial,idle,,,5.000237,0,46846835,185797,9.3691,0.0372,0,0,0,51,schedutil,,,,,idle baseline
e04-t010-sort-sort-pash_cold-10M-9919e2,4,10,2026-05-03T23:03:12-0400,sort-sort,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,1.326709,0,34352105,2668227,26.4225,2.0523,1.63,0.59,23508,14,schedutil,1550.0,1550.0,,,
idle-intertrial-04-011-79d8d9,4,11,2026-05-03T23:03:17-0400,idle_intertrial,idle,,,5.000292,0,48505273,89626,9.7008,0.0179,0,0,0,51,schedutil,,,,,idle baseline
e04-t011-spell-pash_cold-10M-744906,4,11,2026-05-03T23:03:19-0400,spell,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.116211,0,68780958,2811362,32.7508,1.3387,3.93,1.63,24036,22,schedutil,1550.0,1614.8,,,
idle-intertrial-04-012-702c07,4,12,2026-05-03T23:03:24-0400,idle_intertrial,idle,,,5.000594,0,48194086,120721,9.6378,0.0241,0,0,0,51,schedutil,,,,,idle baseline
